vietnamese,vsl
"Đem Tôi một ly cà phê sữa, một ly nước chanh hoa đậu biếc, và giấy ăn.",Tôi cà-phê sữa một nước ép cóc một giấy ăn muốn
Mình order mượn phích cắm điện để sạc máy.,mình phích cắm muốn
Mình chọn một phần trà cam quế mật ong nóng dâu nha.,mình trà dâu một muốn
Lấy Em thêm một cái ống hút.,Tôi ống hút một muốn
Làm lấy Tôi một ly nước ép ổi,Tôi nước ép cóc một muốn
Mình gọi lấy thêm giấy ăn,Tôi giấy ăn muốn
Anh gọi mượn phích cắm.,Tôi phích cắm muốn
Gọi giúp tôi một nước chanh hoa đậu biếc ít ngọt.,mình nước ép cóc một ngọt ít muốn
Làm lấy mình một phần sữa chua dâu mát lạnh.,mình sữa chua chanh dây một lạnh muốn
Lấy em xin thêm ít giấy ăn nhé.,mình giấy ăn ít muốn
Anh muốn gọi thêm một ly trà đào cam sả đá.,Tôi trà gừng một muốn
Lấy Anh thêm một cái ống hút.,Tôi ống hút một muốn
Lấy Tôi thêm một ly sữa chua đào.,Tôi sữa chua dâu một muốn
Đem Tôi thêm một ly trà thạch vải hoa đậu biếc.,Tôi trà hoa đậu biếc một muốn
"Em gọi hai ly sữa chua dâu, một ly cà phê đen, và một phích cắm.",Tôi sữa chua xoài hai cà-phê đen một phích cắm muốn
Đem Tôi ba ly nước ép cóc và thêm giấy ăn.,Tôi nước ép cam ba giấy ăn muốn
Đem mình một hũ sữa chua chanh dây nha.,mình sữa chua dâu một muốn
Em muốn gọi thêm một ly sữa chua xoài.,Tôi sữa chua chanh dây một muốn
Mình muốn một ly cacao muốn sữa,Tôi cà-phê sữa một muốn
"Anh muốn một ly trà thạch vải hoa đậu biếc, làm nhanh.",Tôi trà hoa đậu biếc một muốn
Anh order lấy thêm giấy ăn,Tôi giấy ăn muốn
"Anh gọi hai ly sữa tươi trân châu đường đen trứng nướng, thêm đá.",Tôi trà sữa hai đá muốn
Anh gọi một ly trà thạch vải,Tôi trà gừng một muốn
"Em muốn một ly cà phê đen Sài Gòn phin đen, ít đường thôi.",Tôi cà-phê đen một đường ít muốn
"Anh lấy một ly trà cam quế mật ong đá hoa đậu biếc, không đường.",Tôi trà hoa đậu biếc một đường không muốn
Mình muốn một ly sữa chua kiwi nha đam và một ly trà dâu.,sữa chua dâu một trà dâu một muốn
Đem Tôi thêm một ly capuchino đen.,Tôi cà-phê đen một muốn
Mình chọn sữa chua cam nha đam thêm topping trân châu.,mình sữa chua xoài một trân châu muốn
Lấy Tôi một ly cacao muốn đen,Tôi cà-phê đen một muốn
Đem Tôi ba ly sữa chua kiwi nha đam và một phích cắm gần cửa.,Tôi sữa chua chanh dây ba phích cắm muốn
Mình gọi hai ly cà phê muối sữa ít đá nhé.,Tôi cà-phê sữa hai đá ít muốn
Đem Tôi thêm một ly cà phê đen Sài Gòn phin sữa.,Tôi cà-phê sữa một muốn
Làm lấy Tôi thêm một ly trà olong dâu vải dâu.,Tôi trà dâu một muốn
Em muốn một ly nước ép cóc và thêm giấy ăn.,Tôi nước ép ổi một giấy ăn muốn
Lấy Tôi một ly trà olong dâu vải hoa đậu biếc,Tôi trà hoa đậu biếc một muốn
"Mình muốn một ly cà phê muối đen, ít đường thôi.",Tôi ly một cà phê đen đường ít muốn
Em muốn một ly nước ép cóc,Tôi nước ép ổi một muốn
Anh muốn một ly nước ép ổi và một ly nước ép ổi.,Tôi nước ép cóc một nước ép ổi một muốn
Lấy Tôi một ly trà lipton cam thảo đá dâu và thêm giấy ăn.,Tôi trà dâu một giấy ăn muốn
"Em muốn một ly nước ép cam, một ly trà gừng, và một ly sữa chua cam nha đam.",Tôi nước ép cam một trà gừng một sữa chua xoài một muốn
Em muốn bốn ly trà đào cam sả đá dâu.,Tôi trà dâu bốn muốn
Lấy Anh mượn phích cắm,Tôi phích cắm muốn
Em muốn hai ly cà phê dừa đen.,Tôi cà-phê đen hai muốn
Mình lấy hai ly sữa chua dâu và một ly trà gừng.,Tôi sữa chua xoài hai trà gừng một muốn
Mình lấy một phần sữa chua việt quất.,mình sữa chua xoài một muốn
Đem Tôi một ly trà thạch sữa đào hoa đậu biếc,Tôi trà hoa đậu biếc một muốn
"Em muốn một ly trà hoa đậu biếc, hai ly nước ép cóc, và một phích cắm.",Tôi trà hoa đậu biếc một nước ép ổi hai phích cắm muốn
"Đem Tôi hai ly socola đá đen và một ly trà xoài, cảm ơn.",Tôi cà-phê đen hai trà xoài một muốn
Em gọi hai ly trà hoa đậu biếc và một ly sữa chua kiwi nha đam.,Tôi trà hoa đậu biếc hai sữa chua chanh dây một muốn
"Mình muốn một ly trà hoa đậu biếc, hai ly nước ép cà rốt, và một phích cắm.",Tôi trà hoa đậu biếc một nước ép ổi hai phích cắm muốn
Mình order thêm giấy ăn và một phích cắm.,Tôi giấy ăn phích cắm muốn
Anh muốn hai ly cà phê đen máy đen và cảm ơn.,Tôi cà-phê đen hai muốn
